code,name_ko,name_en,unit,sex,age_min,age_max,rda,ai,ear,ul,is_pregnant,is_lactating
vitamin_a_ug_rae,비타민 A,Vitamin A,μg RAE,male,19,200,800,,650,3000,false,false
vitamin_a_ug_rae,비타민 A,Vitamin A,μg RAE,female,19,200,650,,520,3000,false,false
vitamin_a_ug_rae,비타민 A,Vitamin A,μg RAE,female,19,200,720,,580,3000,true,false
vitamin_a_ug_rae,비타민 A,Vitamin A,μg RAE,female,19,200,1140,,920,3000,false,true
vitamin_c_mg,비타민 C,Vitamin C,mg,male,19,200,100,,75,2000,false,false
vitamin_c_mg,비타민 C,Vitamin C,mg,female,19,200,100,,75,2000,false,false
vitamin_c_mg,비타민 C,Vitamin C,mg,female,19,200,110,,85,2000,true,false
vitamin_c_mg,비타민 C,Vitamin C,mg,female,19,200,140,,110,2000,false,true
vitamin_d_ug,비타민 D,Vitamin D,μg,male,19,49,,10,,100,false,false
vitamin_d_ug,비타민 D,Vitamin D,μg,male,50,200,,15,,100,false,false
vitamin_d_ug,비타민 D,Vitamin D,μg,female,19,49,,10,,100,false,false
vitamin_d_ug,비타민 D,Vitamin D,μg,female,50,200,,15,,100,false,false
vitamin_d_ug,비타민 D,Vitamin D,μg,female,19,200,,10,,100,true,false
vitamin_d_ug,비타민 D,Vitamin D,μg,female,19,200,,10,,100,false,true
vitamin_e_mg_ate,비타민 E,Vitamin E,mg α-TE,male,19,200,,12,,540,false,false
vitamin_e_mg_ate,비타민 E,Vitamin E,mg α-TE,female,19,200,,12,,540,false,false
vitamin_k_ug,비타민 K,Vitamin K,μg,male,19,200,,75,,,false,false
vitamin_k_ug,비타민 K,Vitamin K,μg,female,19,200,,65,,,false,false
vitamin_b1_mg,비타민 B1,Thiamine,mg,male,19,200,1.2,,1.0,,false,false
vitamin_b1_mg,비타민 B1,Thiamine,mg,female,19,200,1.1,,0.9,,false,false
vitamin_b2_mg,비타민 B2,Riboflavin,mg,male,19,200,1.5,,1.3,,false,false
vitamin_b2_mg,비타민 B2,Riboflavin,mg,female,19,200,1.2,,1.0,,false,false
vitamin_b3_mg_ne,나이아신,Niacin (NE),mg NE,male,19,200,16,,12,35,false,false
vitamin_b3_mg_ne,나이아신,Niacin (NE),mg NE,female,19,200,14,,11,35,false,false
vitamin_b5_mg,판토텐산,Pantothenic Acid,mg,male,19,200,,5,,,false,false
vitamin_b5_mg,판토텐산,Pantothenic Acid,mg,female,19,200,,5,,,false,false
vitamin_b6_mg,비타민 B6,Vitamin B6,mg,male,19,200,1.5,,1.3,100,false,false
vitamin_b6_mg,비타민 B6,Vitamin B6,mg,female,19,200,1.4,,1.2,100,false,false
vitamin_b6_mg,비타민 B6,Vitamin B6,mg,female,19,200,1.9,,1.7,100,true,false
vitamin_b6_mg,비타민 B6,Vitamin B6,mg,female,19,200,2.0,,1.8,100,false,true
vitamin_b7_ug,비오틴,Biotin,μg,male,19,200,,30,,,false,false
vitamin_b7_ug,비오틴,Biotin,μg,female,19,200,,30,,,false,false
vitamin_b9_ug_dfe,엽산,Folate (DFE),μg DFE,male,19,200,400,,320,1000,false,false
vitamin_b9_ug_dfe,엽산,Folate (DFE),μg DFE,female,19,200,400,,320,1000,false,false
vitamin_b9_ug_dfe,엽산,Folate (DFE),μg DFE,female,19,200,620,,520,1000,true,false
vitamin_b9_ug_dfe,엽산,Folate (DFE),μg DFE,female,19,200,550,,450,1000,false,true
vitamin_b12_ug,비타민 B12,Vitamin B12,μg,male,19,200,2.4,,2.0,,false,false
vitamin_b12_ug,비타민 B12,Vitamin B12,μg,female,19,200,2.4,,2.0,,false,false
vitamin_b12_ug,비타민 B12,Vitamin B12,μg,female,19,200,2.6,,2.2,,true,false
vitamin_b12_ug,비타민 B12,Vitamin B12,μg,female,19,200,2.8,,2.4,,false,true
calcium_mg,칼슘,Calcium,mg,male,19,49,800,,650,2500,false,false
calcium_mg,칼슘,Calcium,mg,male,50,200,750,,600,2000,false,false
calcium_mg,칼슘,Calcium,mg,female,19,49,700,,550,2500,false,false
calcium_mg,칼슘,Calcium,mg,female,50,200,800,,650,2000,false,false
calcium_mg,칼슘,Calcium,mg,female,19,200,700,,550,2500,true,false
calcium_mg,칼슘,Calcium,mg,female,19,200,700,,550,2500,false,true
iron_mg,철,Iron,mg,male,19,200,10,,8,45,false,false
iron_mg,철,Iron,mg,female,19,49,14,,11,45,false,false
iron_mg,철,Iron,mg,female,50,200,8,,6,45,false,false
iron_mg,철,Iron,mg,female,19,200,24,,20,45,true,false
iron_mg,철,Iron,mg,female,19,200,14,,11,45,false,true
magnesium_mg,마그네슘,Magnesium,mg,male,19,200,360,,295,350,false,false
magnesium_mg,마그네슘,Magnesium,mg,female,19,200,280,,235,350,false,false
zinc_mg,아연,Zinc,mg,male,19,200,10,,8,35,false,false
zinc_mg,아연,Zinc,mg,female,19,200,8,,7,35,false,false
zinc_mg,아연,Zinc,mg,female,19,200,11,,9,35,true,false
zinc_mg,아연,Zinc,mg,female,19,200,13,,10,35,false,true
selenium_ug,셀레늄,Selenium,μg,male,19,200,60,,50,400,false,false
selenium_ug,셀레늄,Selenium,μg,female,19,200,60,,50,400,false,false
iodine_ug,요오드,Iodine,μg,male,19,200,150,,95,2400,false,false
iodine_ug,요오드,Iodine,μg,female,19,200,150,,95,2400,false,false
iodine_ug,요오드,Iodine,μg,female,19,200,240,,200,,true,false
