ingredient_name_ko,ingredient_name_en,nutrient_code,source_aliases
비타민 A,Vitamin A,vitamin_a_ug_rae,레티놀|Retinol|Vit A|레티놀 팔미테이트
베타카로틴,Beta-Carotene,vitamin_a_ug_rae,β-카로틴|Beta Carotene|provitamin A
비타민 C,Vitamin C,vitamin_c_mg,아스코르브산|Ascorbic Acid|L-ascorbic acid|Vit C
비타민 D,Vitamin D,vitamin_d_ug,콜레칼시페롤|Cholecalciferol|Vit D
비타민 D3,Vitamin D3,vitamin_d_ug,Cholecalciferol|D3
비타민 E,Vitamin E,vitamin_e_mg_ate,토코페롤|Tocopherol|d-알파토코페롤|Vit E
비타민 K,Vitamin K,vitamin_k_ug,Phylloquinone|Menaquinone|K1|K2
비타민 B1,Thiamine,vitamin_b1_mg,티아민|Thiamin|Vit B1
비타민 B2,Riboflavin,vitamin_b2_mg,리보플라빈|Vit B2
나이아신,Niacin,vitamin_b3_mg_ne,니코틴산|Nicotinic Acid|니아신|Vit B3
판토텐산,Pantothenic Acid,vitamin_b5_mg,Vit B5|판토텐
비타민 B6,Vitamin B6,vitamin_b6_mg,피리독신|Pyridoxine|Vit B6
비오틴,Biotin,vitamin_b7_ug,Vit B7|Vit H
엽산,Folate,vitamin_b9_ug_dfe,Folic Acid|폴린산|Vit B9
비타민 B12,Vitamin B12,vitamin_b12_ug,Cobalamin|코발라민|시아노코발라민|Vit B12
칼슘,Calcium,calcium_mg,Ca|탄산칼슘|Calcium Carbonate
철,Iron,iron_mg,Fe|구연산철|Iron Bisglycinate|페로글리시네이트
마그네슘,Magnesium,magnesium_mg,Mg|산화마그네슘|Magnesium Oxide
아연,Zinc,zinc_mg,Zn|글루콘산아연|Zinc Gluconate
셀레늄,Selenium,selenium_ug,Se|셀레노메티오닌|Selenomethionine
요오드,Iodine,iodine_ug,Iodide|요드|아이오딘
구리,Copper,copper_mg,Cu
망간,Manganese,manganese_mg,Mn
크롬,Chromium,chromium_ug,Cr|Chromium Picolinate
몰리브덴,Molybdenum,molybdenum_ug,Mo
인,Phosphorus,phosphorus_mg,P
칼륨,Potassium,potassium_mg,K|염화칼륨
오메가-3 DHA,DHA,omega3_dha_mg,도코사헥사엔산|Docosahexaenoic Acid
오메가-3 EPA,EPA,omega3_epa_mg,에이코사펜타엔산|Eicosapentaenoic Acid
루테인,Lutein,lutein_zeaxanthin_mg,루테인+지아잔틴|Lutein + Zeaxanthin|Marigold Extract
밀크씨슬,Milk Thistle,milk_thistle_mg,실리마린|Silymarin|Silybum marianum
코엔자임 Q10,Coenzyme Q10,coq10_mg,유비퀴논|Ubiquinone|CoQ10|유비퀴놀
