sample,value,unit,part_number,process
1,6.1815,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
2,6.6488,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
3,6.5117,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
4,6.2579,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
5,6.0486,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
6,6.3656,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
7,6.4897,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
8,6.5454,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
9,6.6678,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
10,6.4347,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
11,6.5269,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
12,6.574,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
13,6.6228,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
14,6.1988,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
15,7.1183,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
16,6.7222,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
17,6.7224,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
18,6.5808,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
19,6.4716,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
20,5.785,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
21,6.6072,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
22,6.0608,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
23,6.223,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
24,6.7729,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
25,6.9168,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
26,6.1844,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
27,7.2099,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
28,6.7169,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
29,6.7805,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
30,6.0351,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
31,6.7968,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
32,6.6766,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
33,5.3725,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
34,5.2262,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
35,6.4086,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
36,6.2278,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
37,5.6071,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
38,6.2861,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
39,6.6739,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
40,6.4782,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
41,6.2266,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
42,6.4273,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
43,6.7938,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
44,7.2143,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
45,6.7502,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
46,6.779,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
47,6.8112,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
48,6.108,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
49,6.6079,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
50,5.9241,mm,AJ-BMP-F100,범퍼빔 용접 너겟 직경
