sample,value,unit,part_number,process
1,1.185,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
2,1.1831,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
3,1.1572,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
4,1.184,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
5,1.1761,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
6,1.1804,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
7,1.1919,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
8,1.1896,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
9,1.1832,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
10,1.184,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
11,1.1973,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
12,1.1931,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
13,1.1872,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
14,1.168,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
15,1.1929,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
16,1.1957,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
17,1.1999,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
18,1.1891,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
19,1.1948,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
20,1.2045,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
21,1.1916,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
22,1.1959,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
23,1.2007,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
24,1.1806,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
25,1.2025,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
26,1.1669,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
27,1.1986,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
28,1.204,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
29,1.2207,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
30,1.1963,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
31,1.2014,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
32,1.198,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
33,1.1961,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
34,1.2103,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
35,1.212,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
36,1.2208,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
37,1.2085,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
38,1.2022,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
39,1.2184,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
40,1.2242,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
41,1.2227,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
42,1.2076,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
43,1.2284,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
44,1.2195,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
45,1.2224,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
46,1.2173,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
47,1.2196,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
48,1.2318,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
49,1.2249,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
50,1.2286,mm,AJ-CCH-P100,CCH 냉각플레이트 두께
