sample,value,unit,part_number,process
1,0.0832,mm,AJ-OBC-C100,OBC 케이스 평탄도
2,0.0571,mm,AJ-OBC-C100,OBC 케이스 평탄도
3,0.0482,mm,AJ-OBC-C100,OBC 케이스 평탄도
4,0.0884,mm,AJ-OBC-C100,OBC 케이스 평탄도
5,0.0184,mm,AJ-OBC-C100,OBC 케이스 평탄도
6,0.0897,mm,AJ-OBC-C100,OBC 케이스 평탄도
7,0.0654,mm,AJ-OBC-C100,OBC 케이스 평탄도
8,0.0617,mm,AJ-OBC-C100,OBC 케이스 평탄도
9,0.0524,mm,AJ-OBC-C100,OBC 케이스 평탄도
10,0.0281,mm,AJ-OBC-C100,OBC 케이스 평탄도
11,0.0549,mm,AJ-OBC-C100,OBC 케이스 평탄도
12,0.0736,mm,AJ-OBC-C100,OBC 케이스 평탄도
13,0.0803,mm,AJ-OBC-C100,OBC 케이스 평탄도
14,0.0569,mm,AJ-OBC-C100,OBC 케이스 평탄도
15,0.0835,mm,AJ-OBC-C100,OBC 케이스 평탄도
16,0.109,mm,AJ-OBC-C100,OBC 케이스 평탄도
17,0.0856,mm,AJ-OBC-C100,OBC 케이스 평탄도
18,0.154,mm,AJ-OBC-C100,OBC 케이스 평탄도
19,0.0953,mm,AJ-OBC-C100,OBC 케이스 평탄도
20,0.054,mm,AJ-OBC-C100,OBC 케이스 평탄도
21,0.0749,mm,AJ-OBC-C100,OBC 케이스 평탄도
22,0.0952,mm,AJ-OBC-C100,OBC 케이스 평탄도
23,0.0893,mm,AJ-OBC-C100,OBC 케이스 평탄도
24,0.1159,mm,AJ-OBC-C100,OBC 케이스 평탄도
25,0.1337,mm,AJ-OBC-C100,OBC 케이스 평탄도
26,-0.0009,mm,AJ-OBC-C100,OBC 케이스 평탄도
27,0.103,mm,AJ-OBC-C100,OBC 케이스 평탄도
28,0.1234,mm,AJ-OBC-C100,OBC 케이스 평탄도
29,0.1522,mm,AJ-OBC-C100,OBC 케이스 평탄도
30,0.1003,mm,AJ-OBC-C100,OBC 케이스 평탄도
31,0.0771,mm,AJ-OBC-C100,OBC 케이스 평탄도
32,0.0779,mm,AJ-OBC-C100,OBC 케이스 평탄도
33,0.0808,mm,AJ-OBC-C100,OBC 케이스 평탄도
34,0.087,mm,AJ-OBC-C100,OBC 케이스 평탄도
35,0.1267,mm,AJ-OBC-C100,OBC 케이스 평탄도
36,0.1265,mm,AJ-OBC-C100,OBC 케이스 평탄도
37,0.1108,mm,AJ-OBC-C100,OBC 케이스 평탄도
38,0.1328,mm,AJ-OBC-C100,OBC 케이스 평탄도
39,0.1019,mm,AJ-OBC-C100,OBC 케이스 평탄도
40,0.0639,mm,AJ-OBC-C100,OBC 케이스 평탄도
41,0.1089,mm,AJ-OBC-C100,OBC 케이스 평탄도
42,0.0736,mm,AJ-OBC-C100,OBC 케이스 평탄도
43,0.0883,mm,AJ-OBC-C100,OBC 케이스 평탄도
44,0.1346,mm,AJ-OBC-C100,OBC 케이스 평탄도
45,0.1218,mm,AJ-OBC-C100,OBC 케이스 평탄도
46,0.128,mm,AJ-OBC-C100,OBC 케이스 평탄도
47,0.1259,mm,AJ-OBC-C100,OBC 케이스 평탄도
48,0.1268,mm,AJ-OBC-C100,OBC 케이스 평탄도
49,0.1439,mm,AJ-OBC-C100,OBC 케이스 평탄도
50,0.1205,mm,AJ-OBC-C100,OBC 케이스 평탄도
