mold_id,mold_name,product_type,material,designed_life,current_shots,usage_ratio,current_defect_rate,recent_defect_avg,defect_slope,maintenance_count,maintenance_quality,material_factor,load_factor,spc_anomaly_rate,remaining_life,failure_shots
4,EWP 상부 하우징 금형,default,H13,500000,356422,0.713,1.04,0.711,0.2176,7,0.88,1.0,1.0,10.5,0,348500
4,EWP 상부 하우징 금형,default,H13,500000,146975,0.294,0.107,0.115,-0.0046,1,1.22,1.0,1.0,4.3,340025,487000
4,EWP 상부 하우징 금형,default,H13,500000,160577,0.321,0.115,0.105,-0.0027,0,0.75,1.0,1.0,9.8,139423,300000
4,EWP 상부 하우징 금형,default,H13,500000,348473,0.697,1.292,0.945,0.1517,5,0.81,1.0,1.0,8.2,0,321000
4,EWP 상부 하우징 금형,default,H13,500000,464598,0.929,1.372,1.004,0.1549,10,1.06,1.0,1.0,9.7,0,423500
4,EWP 상부 하우징 금형,default,H13,500000,462337,0.925,1.755,1.279,0.2175,11,0.98,1.0,1.0,8.9,0,386500
4,EWP 상부 하우징 금형,default,H13,500000,194014,0.388,0.068,0.118,-0.0272,2,1.22,1.0,1.0,7.7,292486,486500
4,EWP 상부 하우징 금형,default,H13,500000,171159,0.342,0.05,0.089,-0.0037,4,0.78,1.0,1.0,6.4,142341,313500
4,EWP 상부 하우징 금형,default,H13,500000,471553,0.943,5.784,3.686,0.9146,9,0.75,1.0,1.0,22.2,0,298500
4,EWP 상부 하우징 금형,default,H13,500000,455449,0.911,0.701,0.329,0.1609,10,1.3,1.0,1.0,4.5,60551,516000
4,EWP 상부 하우징 금형,default,H13,500000,270409,0.541,0.642,0.196,0.1067,6,0.81,1.0,1.0,8.9,53091,323500
4,EWP 상부 하우징 금형,default,H13,500000,256657,0.513,0.096,0.082,0.0039,6,1.28,1.0,1.0,3.0,251843,508500
4,EWP 상부 하우징 금형,default,H13,500000,280245,0.56,0.709,0.339,0.1709,2,0.78,1.0,1.0,4.4,32255,312500
4,EWP 상부 하우징 금형,default,H13,500000,286218,0.572,0.782,0.343,0.204,4,0.8,1.0,1.0,6.9,30782,317000
4,EWP 상부 하우징 금형,default,H13,500000,439338,0.879,0.771,0.335,0.1938,9,1.22,1.0,1.0,10.3,46662,486000
4,EWP 상부 하우징 금형,default,H13,500000,461395,0.923,1.897,1.316,0.256,8,0.95,1.0,1.0,9.9,0,378000
4,EWP 상부 하우징 금형,default,H13,500000,178010,0.356,0.115,0.103,0.0173,4,0.85,1.0,1.0,4.0,158490,336500
4,EWP 상부 하우징 금형,default,H13,500000,315059,0.63,0.774,0.474,0.2024,7,0.84,1.0,1.0,9.7,19441,334500
4,EWP 상부 하우징 금형,default,H13,500000,519027,1.038,5.44,3.482,0.8549,9,0.84,1.0,1.0,22.5,0,331500
4,EWP 상부 하우징 금형,default,H13,500000,88853,0.178,0.154,0.159,-0.0088,0,0.84,1.0,1.0,8.4,245647,334500
5,EWP 하부 하우징 금형,default,H13,500000,388217,0.776,0.697,0.212,0.1139,7,1.14,1.0,1.0,5.0,62783,451000
5,EWP 하부 하우징 금형,default,H13,500000,430211,0.86,0.747,0.345,0.1847,9,1.21,1.0,1.0,7.6,49789,480000
5,EWP 하부 하우징 금형,default,H13,500000,457352,0.915,1.446,1.054,0.1658,7,1.01,1.0,1.0,7.1,0,404000
5,EWP 하부 하우징 금형,default,H13,500000,36769,0.074,0.282,0.357,-0.0388,2,0.9,1.0,1.0,5.1,321231,358000
5,EWP 하부 하우징 금형,default,H13,500000,302180,0.604,0.935,0.527,0.225,4,0.8,1.0,1.0,4.3,15820,318000
5,EWP 하부 하우징 금형,default,H13,500000,360874,0.722,0.167,0.124,0.0166,10,1.14,1.0,1.0,5.3,95126,456000
5,EWP 하부 하우징 금형,default,H13,500000,339355,0.679,1.47,1.069,0.1752,4,0.75,1.0,1.0,8.6,0,299500
5,EWP 하부 하우징 금형,default,H13,500000,405720,0.811,0.845,0.501,0.2056,6,1.07,1.0,1.0,13.2,20280,426000
5,EWP 하부 하우징 금형,default,H13,500000,246836,0.494,0.123,0.101,0.0062,3,1.0,1.0,1.0,0.6,153164,400000
5,EWP 하부 하우징 금형,default,H13,500000,408359,0.817,0.113,0.078,0.0127,9,1.3,1.0,1.0,6.0,108141,516500
5,EWP 하부 하우징 금형,default,H13,500000,63320,0.127,0.259,0.275,0.0004,3,1.07,1.0,1.0,4.6,363680,427000
