sample,value,unit,part_number,process
1,24.9982,mm,AJ-EWP-H100,EWP 하우징 내경
2,24.9978,mm,AJ-EWP-H100,EWP 하우징 내경
3,24.9984,mm,AJ-EWP-H100,EWP 하우징 내경
4,24.9812,mm,AJ-EWP-H100,EWP 하우징 내경
5,24.9973,mm,AJ-EWP-H100,EWP 하우징 내경
6,25.0015,mm,AJ-EWP-H100,EWP 하우징 내경
7,25.0082,mm,AJ-EWP-H100,EWP 하우징 내경
8,25.0014,mm,AJ-EWP-H100,EWP 하우징 내경
9,25.0031,mm,AJ-EWP-H100,EWP 하우징 내경
10,24.9373,mm,AJ-EWP-H100,EWP 하우징 내경
11,24.9963,mm,AJ-EWP-H100,EWP 하우징 내경
12,24.9892,mm,AJ-EWP-H100,EWP 하우징 내경
13,24.9971,mm,AJ-EWP-H100,EWP 하우징 내경
14,25.0047,mm,AJ-EWP-H100,EWP 하우징 내경
15,24.9819,mm,AJ-EWP-H100,EWP 하우징 내경
16,24.9862,mm,AJ-EWP-H100,EWP 하우징 내경
17,25.012,mm,AJ-EWP-H100,EWP 하우징 내경
18,24.9979,mm,AJ-EWP-H100,EWP 하우징 내경
19,24.9817,mm,AJ-EWP-H100,EWP 하우징 내경
20,24.9831,mm,AJ-EWP-H100,EWP 하우징 내경
21,25.0086,mm,AJ-EWP-H100,EWP 하우징 내경
22,25.0026,mm,AJ-EWP-H100,EWP 하우징 내경
23,25.0006,mm,AJ-EWP-H100,EWP 하우징 내경
24,25.0057,mm,AJ-EWP-H100,EWP 하우징 내경
25,24.992,mm,AJ-EWP-H100,EWP 하우징 내경
26,25.009,mm,AJ-EWP-H100,EWP 하우징 내경
27,25.0167,mm,AJ-EWP-H100,EWP 하우징 내경
28,24.993,mm,AJ-EWP-H100,EWP 하우징 내경
29,24.999,mm,AJ-EWP-H100,EWP 하우징 내경
30,24.9926,mm,AJ-EWP-H100,EWP 하우징 내경
31,24.9898,mm,AJ-EWP-H100,EWP 하우징 내경
32,24.9877,mm,AJ-EWP-H100,EWP 하우징 내경
33,25.0627,mm,AJ-EWP-H100,EWP 하우징 내경
34,24.9911,mm,AJ-EWP-H100,EWP 하우징 내경
35,25.0253,mm,AJ-EWP-H100,EWP 하우징 내경
36,25.0112,mm,AJ-EWP-H100,EWP 하우징 내경
37,25.0034,mm,AJ-EWP-H100,EWP 하우징 내경
38,25.0143,mm,AJ-EWP-H100,EWP 하우징 내경
39,25.0043,mm,AJ-EWP-H100,EWP 하우징 내경
40,25.0054,mm,AJ-EWP-H100,EWP 하우징 내경
41,24.9998,mm,AJ-EWP-H100,EWP 하우징 내경
42,24.9867,mm,AJ-EWP-H100,EWP 하우징 내경
43,25.0068,mm,AJ-EWP-H100,EWP 하우징 내경
44,24.9999,mm,AJ-EWP-H100,EWP 하우징 내경
45,25.0046,mm,AJ-EWP-H100,EWP 하우징 내경
46,24.9945,mm,AJ-EWP-H100,EWP 하우징 내경
47,24.9898,mm,AJ-EWP-H100,EWP 하우징 내경
48,24.993,mm,AJ-EWP-H100,EWP 하우징 내경
49,24.9999,mm,AJ-EWP-H100,EWP 하우징 내경
50,25.0159,mm,AJ-EWP-H100,EWP 하우징 내경
51,25.0196,mm,AJ-EWP-H100,EWP 하우징 내경
52,25.0172,mm,AJ-EWP-H100,EWP 하우징 내경
53,24.9944,mm,AJ-EWP-H100,EWP 하우징 내경
54,25.0627,mm,AJ-EWP-H100,EWP 하우징 내경
55,25.0209,mm,AJ-EWP-H100,EWP 하우징 내경
56,24.9963,mm,AJ-EWP-H100,EWP 하우징 내경
57,24.983,mm,AJ-EWP-H100,EWP 하우징 내경
58,24.983,mm,AJ-EWP-H100,EWP 하우징 내경
59,24.9948,mm,AJ-EWP-H100,EWP 하우징 내경
60,25.0053,mm,AJ-EWP-H100,EWP 하우징 내경
61,25.0148,mm,AJ-EWP-H100,EWP 하우징 내경
62,24.9917,mm,AJ-EWP-H100,EWP 하우징 내경
63,24.9763,mm,AJ-EWP-H100,EWP 하우징 내경
