sample,value,unit,part_number,process
1,-0.0278,mm,AJ-SIT-R100,시트레일 홀 위치도
2,-0.0397,mm,AJ-SIT-R100,시트레일 홀 위치도
3,0.0089,mm,AJ-SIT-R100,시트레일 홀 위치도
4,-0.0162,mm,AJ-SIT-R100,시트레일 홀 위치도
5,-0.0078,mm,AJ-SIT-R100,시트레일 홀 위치도
6,-0.1442,mm,AJ-SIT-R100,시트레일 홀 위치도
7,-0.1051,mm,AJ-SIT-R100,시트레일 홀 위치도
8,-0.0356,mm,AJ-SIT-R100,시트레일 홀 위치도
9,-0.0313,mm,AJ-SIT-R100,시트레일 홀 위치도
10,0.0115,mm,AJ-SIT-R100,시트레일 홀 위치도
11,-0.0193,mm,AJ-SIT-R100,시트레일 홀 위치도
12,0.0409,mm,AJ-SIT-R100,시트레일 홀 위치도
13,-0.0958,mm,AJ-SIT-R100,시트레일 홀 위치도
14,-0.0113,mm,AJ-SIT-R100,시트레일 홀 위치도
15,0.0469,mm,AJ-SIT-R100,시트레일 홀 위치도
16,-0.1432,mm,AJ-SIT-R100,시트레일 홀 위치도
17,0.1078,mm,AJ-SIT-R100,시트레일 홀 위치도
18,-0.0262,mm,AJ-SIT-R100,시트레일 홀 위치도
19,-0.0277,mm,AJ-SIT-R100,시트레일 홀 위치도
20,-0.0396,mm,AJ-SIT-R100,시트레일 홀 위치도
21,-0.0663,mm,AJ-SIT-R100,시트레일 홀 위치도
22,0.1207,mm,AJ-SIT-R100,시트레일 홀 위치도
23,-0.0197,mm,AJ-SIT-R100,시트레일 홀 위치도
24,0.0376,mm,AJ-SIT-R100,시트레일 홀 위치도
25,0.095,mm,AJ-SIT-R100,시트레일 홀 위치도
26,-0.053,mm,AJ-SIT-R100,시트레일 홀 위치도
27,-0.037,mm,AJ-SIT-R100,시트레일 홀 위치도
28,-0.0221,mm,AJ-SIT-R100,시트레일 홀 위치도
29,-0.003,mm,AJ-SIT-R100,시트레일 홀 위치도
30,-0.0648,mm,AJ-SIT-R100,시트레일 홀 위치도
31,-0.0085,mm,AJ-SIT-R100,시트레일 홀 위치도
32,0.1358,mm,AJ-SIT-R100,시트레일 홀 위치도
33,0.0003,mm,AJ-SIT-R100,시트레일 홀 위치도
34,0.066,mm,AJ-SIT-R100,시트레일 홀 위치도
35,-0.0005,mm,AJ-SIT-R100,시트레일 홀 위치도
36,0.0944,mm,AJ-SIT-R100,시트레일 홀 위치도
37,-0.0443,mm,AJ-SIT-R100,시트레일 홀 위치도
38,-0.0059,mm,AJ-SIT-R100,시트레일 홀 위치도
39,0.0212,mm,AJ-SIT-R100,시트레일 홀 위치도
40,-0.0615,mm,AJ-SIT-R100,시트레일 홀 위치도
41,0.0748,mm,AJ-SIT-R100,시트레일 홀 위치도
42,-0.0769,mm,AJ-SIT-R100,시트레일 홀 위치도
43,0.0034,mm,AJ-SIT-R100,시트레일 홀 위치도
44,-0.0004,mm,AJ-SIT-R100,시트레일 홀 위치도
45,0.0082,mm,AJ-SIT-R100,시트레일 홀 위치도
46,0.1205,mm,AJ-SIT-R100,시트레일 홀 위치도
47,-0.0729,mm,AJ-SIT-R100,시트레일 홀 위치도
48,-0.0574,mm,AJ-SIT-R100,시트레일 홀 위치도
49,0.0131,mm,AJ-SIT-R100,시트레일 홀 위치도
50,0.0251,mm,AJ-SIT-R100,시트레일 홀 위치도
